name,group,resolution,fps,bitrate,tvg_id,tvg_logo,url
4K World Cup 2026,Sports,4k,60,6600,,,
SPORTSUPA LIVE FHD,Sports,1080p,60,6000,,,
GOALIETREND LIVE FHD,Sports,1080p,60,4000,,,
AA HD TV,Sports,1080p,60,4500,,,
4kTV,Sports,1080p,60,4500,,,
SPORTSGAMES.TODAY,Sports,1080p,60,4500,,,
Fifa 2026,Sports,1080p,60,4500,,,
Sports News,Sports,1080p,60,4500,,,
2026 soccer,Sports,1080p,60,4500,,,
volokit,Sports,1080p,60,4400,,,
gstream24,Sports,1080p,60,4400,,,
DUDESTREAM FHD,Sports,1080p,60,4500,,,
ESPN+,Sports,1080p,60,2000,,,
TNT (Blogspot),Sports,1080p,60,1500,,,
TNT (Superly),Sports,1080p,60,4500,,,
TSN,Sports,360p,30,600,,,
RIPPLE-NETWORK,Sports,1080p,60,4000,,,
TNT-USA,Sports,1080p,60,4000,,,
BUFF-STREAMS HD,Sports,1080p,60,5000,,,
MyCrackSports,Sports,1080p,60,4500,,,
HESGOAL-Streaming,Sports,1080p,60,4000,,,
ESPN (Tarantins),Sports,480p,60,500,,,
Power Streams,Sports,1080p,60,4000,,,
